IDFeature	txtCountry	refIDSite	txtSite	txtType_of_Feature	txtFeature	txtCulture	txtSex	txtAge	txtCommentary	dblLatitude	dblLongitude	txtReference
152	Greece	221	Franchthi-Höhle	Section	A	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
153	Greece	221	Franchthi-Höhle	Section	F1	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
154	Greece	221	Franchthi-Höhle	Section	H	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
155	Greece	221	Franchthi-Höhle	Section	H1	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
156	Greece	221	Franchthi-Höhle	Section	FA	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
157	Greece	221	Franchthi-Höhle	Section	FAN	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
158	Greece	221	Franchthi-Höhle	Section	H2A	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
159	Greece	221	Franchthi-Höhle	Section	FAS	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
160	Greece	221	Franchthi-Höhle	Section	H2B	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
161	Greece	221	Franchthi-Höhle	Section	L5NE	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
162	Greece	221	Franchthi-Höhle	Section	O5NE	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
163	Greece	221	Franchthi-Höhle	Section	P5	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
164	Greece	221	Franchthi-Höhle	Section	Q5S	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
165	Greece	221	Franchthi-Höhle	Section	Q4	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
166	Greece	221	Franchthi-Höhle	Section	L5	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
167	Greece	221	Franchthi-Höhle	Section	P5-Q5	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
168	Greece	221	Franchthi-Höhle	Section	O5	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
169	Greece	221	Franchthi-Höhle	Section	FA QSE	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
170	Greece	221	Franchthi-Höhle	Section	FF1	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
171	Greece	221	Franchthi-Höhle	Section	Q6N	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
172	Greece	221	Franchthi-Höhle	Section	Q5N	Franchthi-cave (C-14)				37.422456	23.132222	Shackleton et al. 1988, 106-123
425	Greece	347	Kitsos-Cave	Layer	various	Late Neolithic (Greece)				37.733679	23.999748	Chevallier 1981, 623-624; Vialou 1981, 410, 413, Fig. 282 plate 50 3,5-6
186	Greece	427	Knossos	Layer	5	Late Neolithic I (Greece)				35.297778	25.163611	Evans 1964, 54; Reese 1987, 128
184	Greece	425	Korykische Höhle	Layer	3b	Late Neolithic (Greece)				38.515	22.520556	Perlès et al. 1981, 159-160
420	Greece	362	Kryoneri	Layer	I	Late Neolithic I (Greece)				40.874775	23.817534	Theodoropoulou 2007, 291
421	Greece	362	Kryoneri	Layer	II	Late Neolithic II (Greece)				40.874775	23.817534	Theodoropoulou 2007, 291
422	Greece	361	Limenaria	Section	Χ,Φ,Η	MN - LN (Greece)				40.627778	24.576667	Theodoropoulou 2007, 323
96	Greece	353	Makriyalos	undetermined	MKI	Late Neolithic (Greece)				40.4283333	22.59	Pappa and Veropoulidou 2011
424	Greece	355	Megalo Nisi Galanis	undetermined	undetermined	Late Neolithic (Greece)				40.454488	21.777683	Theodoropoulou 2007, 461
98	Greece	176	Olynthus	Layer	undetermined	Late Neolithic (Greece)				40.296563	23.354272	Robinson and Mylonas 1929, 81
183	Greece	371	Paradeisos	Layer	1	Late Neolithic (Greece)				41.075081	24.7580337	Reese 1987, 127-129
636	Greece	371	Paradeisos	Layer	2	Late Neolithic (Greece)				41.075081	24.7580337	Reese 1987, 127-129
113	Greece	218	Saliagos	undetermined	undetermined	Late Neolithic (Greece)				37.04802	25.09582	Evans and Renfrew 1968, 65, 127
91	Greece	223	Sitagroi	Layer	2	Sitagroi 2				41.116667	24.033333	Nikolaidou 2003, 383-401; Shackleton 2003, 366-368
587	Greece	223	Sitagroi	Layer	1	Karanovo III				41.116667	24.033333	Nikolaidou 2003, 383-401; Shackleton 2003, 366-368
590	Greece	364	Stavroupoli	Feature	T II 54	MN - LN (Greece)				40.667749	22.937536	Karali 2002, 789
595	Greece	364	Stavroupoli	Layer	undetermined	MN - LN (Greece)				40.667749	22.937536	Karali 2002; Karali 2004, 554-557; Theodoropoulou 2011, 98
175	Greece	177	Sérvia	Layer	6	Sérvia 6-7				40.197222	22.013889	Mould et al. 2000, 276-285
629	Greece	177	Sérvia	Layer	1	Sérvia 1-5				40.197222	22.013889	Mould et al. 2000, 276-285
630	Greece	177	Sérvia	Layer	4/5/7	Sérvia 1-7				40.197222	22.013889	Mould et al. 2000, 276-285
631	Greece	177	Sérvia	Layer	4	Sérvia 1-5				40.197222	22.013889	Mould et al. 2000, 276-285
188	Greece	428	Theben (Thessalien)	undetermined	undetermined	Uncertain				39.271111	22.75	Reese 1987, 128; Theocharis 1973, Fig. 271
588	Greece	366	Thermi	undetermined	undetermined	Uncertain				40.545414	23.022147	Pappa et al. 2000, 186, Fig.9; Theodoropoulou 2011, 98
634	Greece	366	Thermi	undetermined	undetermined	MN - LN (Greece)				40.545414	23.022147	Theodoropoulou 2011, 98
187	Greece	179	Tsangli	undetermined	undetermined	MN - LN (Greece)				39.4	22.116666667	Reese 1987, 128; Wace and Thompson 1912, 125, Fig. 78.a, e-g
637	Greece	365	Vassilika	undetermined	undetermined	MN - LN (Greece)				40.479366	23.135702	Theodoropoulou 2011, 98
681	Hungary	533	Alsónyék-Bátaszék	Grave	476	Sopot (Alsónyék-Bátaszék, grave 476)	undetermined	Adult		46.2	18.733333	Oross et al. 2013
666	Hungary	275	Balatonszárszó-Kis-erdei-dűlő	Grave	288	Alföld LPC	undetermined	Child		46.829539	17.8351	Oross and Marton 2012, 271
667	Hungary	275	Balatonszárszó-Kis-erdei-dűlő	Grave	770	Alföld LPC	Male	Adult/Mature		46.829539	17.8351	Oross and Marton 2012, 272
665	Hungary	273	Csanytelek-Újhalastó	Grave	136	Szakálhát	undetermined	Child		46.60619	20.10483	Hegedüs 1982-83, 25-26 Fig. 13-14
582	Hungary	504	Ecseg	undetermined	undetermined	Alföld LPC				47.89653	19.60615	Siklósi 2004, 15
623	Hungary	414	Endrőd-Öregszőlők	Pit	undetermined	Körös				46.936281	20.82345	Siklósi 2004, 13
543	Hungary	323	Etyek-Botpuszta	undetermined	undetermined	LPC				47.456965	18.723526	Zápotocká 1984, 53
544	Hungary	253	Felsővadász-Várdomb	Grave	1a	Bükk	undetermined	undetermined	Double grave.	48.370461	20.9155	Koós 1986, 104
545	Hungary	264	Füzesabony-Gubakút	Grave	9	Alföld LPC (Füzesabony–Gubakút phase 2)	Male	Adult	The grave dates into the second phase of settlement (Whittle et al., 2013, 65).	47.751377	20.414679	Domboróczki 1997, plate 31-32; Whittle et al. 2013, 66
546	Hungary	264	Füzesabony-Gubakút	Grave	3	Alföld LPC (Füzesabony–Gubakút phase 4)	Female	Adult		47.751377	20.414679	Domboróczki 1997, plate 31-32; Whittle et al. 2013, 66
547	Hungary	264	Füzesabony-Gubakút	Grave	5	Alföld LPC (Füzesabony–Gubakút phase 4)	Male	Adult		47.751377	20.414679	Domboróczki 1997, plate 31-32; Whittle et al. 2013, 66
675	Hungary	264	Füzesabony-Gubakút	Grave	4	Alföld LPC (Füzesabony–Gubakút phase 4)	Female	Juvenile		47.751377	20.414679	Whittle et al. 2013, 66
676	Hungary	264	Füzesabony-Gubakút	Grave	6	Alföld LPC (Füzesabony–Gubakút phase 4)	undetermined	Infant 2		47.751377	20.414679	Whittle et al. 2013, 66
677	Hungary	264	Füzesabony-Gubakút	Grave	8	Alföld LPC (Füzesabony–Gubakút phase 4)	undetermined	undetermined		47.751377	20.414679	Whittle et al. 2013, 66
678	Hungary	264	Füzesabony-Gubakút	Grave	13	Alföld LPC (Füzesabony–Gubakút phase 4)	undetermined	Infant 1		47.751377	20.414679	Whittle et al. 2013, 66
548	Hungary	252	Garadna-Elkerülő út, Site No. 2	Grave	undetermined	Bükk	undetermined	undetermined		48.418611	21.1746	Csengeri 2010, 230
549	Hungary	125	Istállóskö	undetermined	undetermined	Bükk				48.07185	20.418906	Korek 1954, 141-143 Fig. 1.27-28
591	Hungary	271	Kengyel-Halastó	undetermined	undetermined	Szakálhát				47.095403	20.342264	Raczky 1982, Fig. 12;
653	Hungary	257	Kesznyéten-Lúci Abony	Grave	S4	Middle Neolithic (Hungary)	undetermined	undetermined		47.966961	21.0444	Siklósi and Csengeri 2011, 53 Fig. 7
592	Hungary	265	Kompolt-Kistér	Grave	4	Latest phase of the Hungarian LPC	undetermined	Child		47.741	20.253	Bánffy et al. 1999, 42-43, plate 12.17-18
